"Population by Five Years Age Group","Number"
"0-4",""
"Female","1626"
"Male","1689"
"10-14",""
"Female","1941"
"Male","2005"
"15-19",""
"Female","1611"
"Male","1211"
"20-24",""
"Female","1352"
"Male","703"
"25-29",""
"Female","1224"
"Male","639"
"30-34",""
"Female","890"
"Male","526"
"35-39",""
"Female","815"
"Male","476"
"40-44",""
"Female","651"
"Male","412"
"45-49",""
"Female","545"
"Male","440"
"50-54",""
"Female","546"
"Male","471"
"55-59",""
"Female","448"
"Male","400"
"5-9",""
"Female","1770"
"Male","1928"
"60-64",""
"Female","412"
"Male","361"
"65-69",""
"Female","263"
"Male","270"
"70-74",""
"Female","170"
"Male","208"
"75+",""
"Female","213"
"Male","222"
