"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","959"
"Male","802"
"Chhantyal/Chhantel",""
"Female","211"
"Male","152"
"Chhetri",""
"Female","2175"
"Male","1702"
"Damai/Dholi",""
"Female","631"
"Male","442"
"Gurung",""
"Female","252"
"Male","221"
"Kami",""
"Female","3639"
"Male","2880"
"Magar",""
"Female","3862"
"Male","3059"
"Musalman",""
"Female","10"
"Male","8"
"Newar",""
"Female","159"
"Male","114"
"Others",""
"Female","22"
"Male","16"
"Sanyasi/Dasnami",""
"Female","160"
"Male","89"
"Sarki",""
"Female","39"
"Male","40"
"Tamang",""
"Female","187"
"Male","158"
"Terai Others",""
"Female","7"
"Male","5"
"Thakali",""
"Female","12"
"Male","9"
"Thakuri",""
"Female","715"
"Male","563"
