"Population by Educational Attainment","Number"
"Beginners",""
"Female","218"
"Male","228"
"Graduate and Equivalent",""
"Female","2"
"Male","15"
"Intermediate and Equivalent",""
"Female","31"
"Male","56"
"Level not Stated",""
"Female","13"
"Male","12"
"Lower Secondary (Class 6-8)",""
"Female","520"
"Male","550"
"Non Formal Education",""
"Female","183"
"Male","122"
"Others",""
"Female","2"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","3"
"Primary Education (1-5 Class)",""
"Female","1924"
"Male","1716"
"Secondary Level (Class 9-10)",""
"Female","149"
"Male","195"
"SLC and Equivalent",""
"Female","108"
"Male","158"
