"Population by Educational Attainment","Number"
"Beginners",""
"Female","218"
"Male","228"
"","446"
"Graduate and Equivalent",""
"Female","2"
"Male","15"
"","17"
"Intermediate and Equivalent",""
"Female","31"
"Male","56"
"","87"
"Level not Stated",""
"Female","13"
"Male","12"
"","25"
"Lower Secondary (Class 6-8)",""
"Female","520"
"Male","550"
"","1070"
"Non Formal Education",""
"Female","183"
"Male","122"
"","305"
"Others",""
"Female","2"
"Male","3"
"","5"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","3"
"","3"
"Primary Education (1-5 Class)",""
"Female","1924"
"Male","1716"
"","3640"
"Secondary Level (Class 9-10)",""
"Female","149"
"Male","195"
"","344"
"SLC and Equivalent",""
"Female","108"
"Male","158"
"","266"
