"Population by Five Years Age Group","Number"
"0-4",""
"Female","1079"
"Male","1079"
"10-14",""
"Female","1737"
"Male","1707"
"15-19",""
"Female","1575"
"Male","1304"
"20-24",""
"Female","1098"
"Male","523"
"25-29",""
"Female","936"
"Male","453"
"30-34",""
"Female","772"
"Male","386"
"35-39",""
"Female","731"
"Male","437"
"40-44",""
"Female","696"
"Male","490"
"45-49",""
"Female","669"
"Male","522"
"50-54",""
"Female","638"
"Male","566"
"55-59",""
"Female","432"
"Male","454"
"5-9",""
"Female","1301"
"Male","1269"
"60-64",""
"Female","442"
"Male","438"
"65-69",""
"Female","343"
"Male","330"
"70-74",""
"Female","331"
"Male","290"
"75+",""
"Female","465"
"Male","422"
