"Population by Single Year of Age","Number"
"0",""
"Female","193"
"Male","211"
"1",""
"Female","217"
"Male","201"
"10",""
"Female","345"
"Male","347"
"11",""
"Female","304"
"Male","286"
"12",""
"Female","378"
"Male","394"
"13",""
"Female","354"
"Male","339"
"14",""
"Female","356"
"Male","341"
"15",""
"Female","360"
"Male","369"
"16",""
"Female","359"
"Male","270"
"17",""
"Female","298"
"Male","290"
"18",""
"Female","333"
"Male","247"
"19",""
"Female","225"
"Male","128"
"2",""
"Female","221"
"Male","215"
"20",""
"Female","294"
"Male","144"
"21",""
"Female","217"
"Male","107"
"22",""
"Female","249"
"Male","115"
"23",""
"Female","160"
"Male","76"
"24",""
"Female","178"
"Male","81"
"25",""
"Female","280"
"Male","121"
"26",""
"Female","184"
"Male","85"
"27",""
"Female","147"
"Male","71"
"28",""
"Female","208"
"Male","92"
"29",""
"Female","117"
"Male","84"
"3",""
"Female","217"
"Male","225"
"30",""
"Female","301"
"Male","122"
"31",""
"Female","95"
"Male","45"
"32",""
"Female","144"
"Male","95"
"33",""
"Female","126"
"Male","60"
"34",""
"Female","106"
"Male","64"
"35",""
"Female","325"
"Male","173"
"36",""
"Female","102"
"Male","79"
"37",""
"Female","99"
"Male","55"
"38",""
"Female","113"
"Male","81"
"39",""
"Female","92"
"Male","49"
"4",""
"Female","231"
"Male","227"
"40",""
"Female","303"
"Male","221"
"41",""
"Female","75"
"Male","50"
"42",""
"Female","125"
"Male","102"
"43",""
"Female","110"
"Male","65"
"44",""
"Female","83"
"Male","52"
"45",""
"Female","276"
"Male","189"
"46",""
"Female","86"
"Male","68"
"47",""
"Female","87"
"Male","72"
"48",""
"Female","123"
"Male","124"
"49",""
"Female","97"
"Male","69"
"5",""
"Female","239"
"Male","256"
"50",""
"Female","279"
"Male","236"
"51",""
"Female","78"
"Male","85"
"52",""
"Female","132"
"Male","112"
"53",""
"Female","75"
"Male","71"
"54",""
"Female","74"
"Male","62"
"55",""
"Female","155"
"Male","162"
"56",""
"Female","65"
"Male","75"
"57",""
"Female","67"
"Male","65"
"58",""
"Female","86"
"Male","98"
"59",""
"Female","59"
"Male","54"
"6",""
"Female","248"
"Male","212"
"60",""
"Female","219"
"Male","185"
"61",""
"Female","50"
"Male","62"
"62",""
"Female","83"
"Male","85"
"63",""
"Female","45"
"Male","59"
"64",""
"Female","45"
"Male","47"
"65",""
"Female","143"
"Male","121"
"66",""
"Female","61"
"Male","45"
"67",""
"Female","53"
"Male","57"
"68",""
"Female","58"
"Male","69"
"69",""
"Female","28"
"Male","38"
"7",""
"Female","273"
"Male","252"
"70",""
"Female","154"
"Male","122"
"71",""
"Female","43"
"Male","27"
"72",""
"Female","64"
"Male","61"
"73",""
"Female","38"
"Male","44"
"74",""
"Female","32"
"Male","36"
"75",""
"Female","83"
"Male","76"
"76",""
"Female","20"
"Male","26"
"77",""
"Female","31"
"Male","22"
"78",""
"Female","31"
"Male","35"
"79",""
"Female","20"
"Male","19"
"8",""
"Female","267"
"Male","284"
"80",""
"Female","85"
"Male","83"
"81",""
"Female","18"
"Male","10"
"82",""
"Female","20"
"Male","26"
"83",""
"Female","20"
"Male","23"
"84",""
"Female","21"
"Male","18"
"85",""
"Female","116"
"Male","84"
"9",""
"Female","274"
"Male","265"
