"Population by Single Year of Age","Number"
"0",""
"Female","228"
"Male","222"
"1",""
"Female","205"
"Male","241"
"10",""
"Female","385"
"Male","356"
"11",""
"Female","357"
"Male","334"
"12",""
"Female","395"
"Male","421"
"13",""
"Female","348"
"Male","347"
"14",""
"Female","425"
"Male","340"
"15",""
"Female","378"
"Male","341"
"16",""
"Female","368"
"Male","299"
"17",""
"Female","285"
"Male","256"
"18",""
"Female","331"
"Male","203"
"19",""
"Female","228"
"Male","130"
"2",""
"Female","235"
"Male","234"
"20",""
"Female","271"
"Male","126"
"21",""
"Female","221"
"Male","87"
"22",""
"Female","216"
"Male","92"
"23",""
"Female","193"
"Male","66"
"24",""
"Female","186"
"Male","78"
"25",""
"Female","267"
"Male","96"
"26",""
"Female","175"
"Male","68"
"27",""
"Female","167"
"Male","92"
"28",""
"Female","178"
"Male","88"
"29",""
"Female","116"
"Male","57"
"3",""
"Female","239"
"Male","241"
"30",""
"Female","267"
"Male","114"
"31",""
"Female","130"
"Male","53"
"32",""
"Female","157"
"Male","82"
"33",""
"Female","127"
"Male","59"
"34",""
"Female","126"
"Male","63"
"35",""
"Female","273"
"Male","123"
"36",""
"Female","145"
"Male","83"
"37",""
"Female","124"
"Male","70"
"38",""
"Female","123"
"Male","88"
"39",""
"Female","90"
"Male","68"
"4",""
"Female","257"
"Male","264"
"40",""
"Female","293"
"Male","173"
"41",""
"Female","123"
"Male","63"
"42",""
"Female","161"
"Male","105"
"43",""
"Female","122"
"Male","84"
"44",""
"Female","107"
"Male","81"
"45",""
"Female","260"
"Male","156"
"46",""
"Female","120"
"Male","87"
"47",""
"Female","90"
"Male","76"
"48",""
"Female","156"
"Male","108"
"49",""
"Female","102"
"Male","90"
"5",""
"Female","275"
"Male","279"
"50",""
"Female","307"
"Male","201"
"51",""
"Female","100"
"Male","94"
"52",""
"Female","131"
"Male","135"
"53",""
"Female","90"
"Male","79"
"54",""
"Female","86"
"Male","70"
"55",""
"Female","162"
"Male","154"
"56",""
"Female","83"
"Male","106"
"57",""
"Female","91"
"Male","77"
"58",""
"Female","114"
"Male","110"
"59",""
"Female","92"
"Male","79"
"6",""
"Female","281"
"Male","285"
"60",""
"Female","215"
"Male","186"
"61",""
"Female","86"
"Male","95"
"62",""
"Female","94"
"Male","83"
"63",""
"Female","75"
"Male","69"
"64",""
"Female","68"
"Male","51"
"65",""
"Female","150"
"Male","117"
"66",""
"Female","60"
"Male","48"
"67",""
"Female","63"
"Male","66"
"68",""
"Female","79"
"Male","58"
"69",""
"Female","30"
"Male","34"
"7",""
"Female","294"
"Male","246"
"70",""
"Female","129"
"Male","132"
"71",""
"Female","46"
"Male","57"
"72",""
"Female","80"
"Male","88"
"73",""
"Female","38"
"Male","59"
"74",""
"Female","43"
"Male","40"
"75",""
"Female","79"
"Male","82"
"76",""
"Female","39"
"Male","41"
"77",""
"Female","42"
"Male","39"
"78",""
"Female","55"
"Male","55"
"79",""
"Female","28"
"Male","27"
"8",""
"Female","290"
"Male","318"
"80",""
"Female","71"
"Male","61"
"81",""
"Female","25"
"Male","19"
"82",""
"Female","35"
"Male","30"
"83",""
"Female","22"
"Male","28"
"84",""
"Female","30"
"Male","29"
"85",""
"Female","109"
"Male","92"
"9",""
"Female","349"
"Male","289"
