"Population by Five Years Age Group","Number"
"0-4",""
"Female","1625"
"Male","1599"
"10-14",""
"Female","2595"
"Male","2545"
"15-19",""
"Female","2235"
"Male","1995"
"20-24",""
"Female","1791"
"Male","782"
"25-29",""
"Female","1601"
"Male","605"
"30-34",""
"Female","1352"
"Male","649"
"35-39",""
"Female","1324"
"Male","627"
"40-44",""
"Female","1301"
"Male","804"
"45-49",""
"Female","1159"
"Male","871"
"50-54",""
"Female","1067"
"Male","941"
"55-59",""
"Female","860"
"Male","829"
"5-9",""
"Female","2067"
"Male","1981"
"60-64",""
"Female","833"
"Male","700"
"65-69",""
"Female","647"
"Male","606"
"70-74",""
"Female","458"
"Male","446"
"75+",""
"Female","662"
"Male","687"
