"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","5"
"Male","33"
"","38"
"Gurung",""
"Female","274"
"Male","222"
"","496"
"Hindi",""
"Female","7"
"Male","7"
"","14"
"Kumal",""
"Female","114"
"Male","97"
"","211"
"Magar",""
"Female","334"
"Male","233"
"","567"
"Maithili",""
"Female","1"
"Male","12"
"","13"
"Majhi",""
"Female","8"
"Male","4"
"","12"
"Nepali",""
"Female","19457"
"Male","14869"
"","34326"
"Newar",""
"Female","227"
"Male","175"
"","402"
"Not Reported",""
"Female","12"
"Male","12"
"","24"
"Others",""
"Female","24"
"Male","24"
"","48"
"Tamang",""
"Female","993"
"Male","830"
"","1823"
"Urdu",""
"Female","114"
"Male","86"
"","200"
