"Industries Employment","Number"
"Accommodation,  food",""
"Female","1797"
"Male","1705"
"Administrative, support service",""
"Female","3"
"Male","9"
"Agriculture, forestry and  fishing",""
"Female","969"
"Male","1318"
"Arts, entertainment, recreation",""
"Female","47"
"Male","121"
"Construction",""
"Female","3"
"Male","72"
"Education",""
"Female","2358"
"Male","2942"
"Electricity, gas and water",""
"Female","11"
"Male","198"
"Financial intermediation and insurance",""
"Female","566"
"Male","484"
"Health, social work",""
"Female","1369"
"Male","574"
"Information and communication",""
"Female","24"
"Male","99"
"Manufacturing",""
"Female","804"
"Male","2831"
"Other service activities",""
"Female","770"
"Male","1436"
"Professional, scientific, techniqual activity",""
"Female","56"
"Male","122"
"Real estate, renting and business activity",""
"Female","0"
"Male","7"
"Transportation,  storage",""
"Female","44"
"Male","135"
"Water supply, wet management",""
"Female","31"
"Male","149"
"Wholesale, retail trade",""
"Female","4738"
"Male","4528"
