"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","37"
"Male","45"
"Brahman - Hill",""
"Female","3678"
"Male","3096"
"Chhetri",""
"Female","1132"
"Male","893"
"Dalit Others",""
"Female","106"
"Male","80"
"Damai/Dholi",""
"Female","755"
"Male","578"
"Ghale",""
"Female","7"
"Male","12"
"Gharti/Bhujel",""
"Female","114"
"Male","115"
"Gurung",""
"Female","2187"
"Male","1976"
"Kami",""
"Female","2823"
"Male","2041"
"Magar",""
"Female","880"
"Male","775"
"Musalman",""
"Female","36"
"Male","40"
"Newar",""
"Female","66"
"Male","61"
"Others",""
"Female","21"
"Male","30"
"Rai",""
"Female","96"
"Male","89"
"Sanyasi/Dasnami",""
"Female","88"
"Male","69"
"Sarki",""
"Female","557"
"Male","494"
"Sherpa",""
"Female","13"
"Male","14"
"Sonar",""
"Female","12"
"Male","18"
"Tamang",""
"Female","72"
"Male","69"
"Terai Others",""
"Female","11"
"Male","7"
"Thakali",""
"Female","77"
"Male","54"
"Thakuri",""
"Female","52"
"Male","41"
