"Population by Caste Ethinicity","Number"
"Badi",""
"Female","33"
"Male","18"
"","51"
"Brahman - Hill",""
"Female","3614"
"Male","2988"
"","6602"
"Chhetri",""
"Female","927"
"Male","767"
"","1694"
"Dalit Others",""
"Female","273"
"Male","218"
"","491"
"Damai/Dholi",""
"Female","702"
"Male","578"
"","1280"
"Gharti/Bhujel",""
"Female","109"
"Male","95"
"","204"
"Gurung",""
"Female","1734"
"Male","1472"
"","3206"
"Kami",""
"Female","1526"
"Male","1217"
"","2743"
"Magar",""
"Female","921"
"Male","831"
"","1752"
"Musalman",""
"Female","5"
"Male","10"
"","15"
"Newar",""
"Female","132"
"Male","114"
"","246"
"Others",""
"Female","37"
"Male","37"
"","74"
"Rai",""
"Female","20"
"Male","32"
"","52"
"Sanyasi/Dasnami",""
"Female","73"
"Male","44"
"","117"
"Sarki",""
"Female","874"
"Male","728"
"","1602"
"Tamang",""
"Female","748"
"Male","684"
"","1432"
"Thakuri",""
"Female","162"
"Male","125"
"","287"
"Tharu",""
"Female","8"
"Male","12"
"","20"
