"Population by Caste Ethinicity","Number"
"Badi",""
"Female","7"
"Male","5"
"","12"
"Bote",""
"Female","12"
"Male","13"
"","25"
"Brahman - Hill",""
"Female","2138"
"Male","1611"
"","3749"
"Chhetri",""
"Female","982"
"Male","702"
"","1684"
"Dalit Others",""
"Female","21"
"Male","14"
"","35"
"Damai/Dholi",""
"Female","454"
"Male","334"
"","788"
"Dura",""
"Female","8"
"Male","7"
"","15"
"Gharti/Bhujel",""
"Female","174"
"Male","137"
"","311"
"Gurung",""
"Female","1205"
"Male","922"
"","2127"
"Kami",""
"Female","739"
"Male","626"
"","1365"
"Khawas",""
"Female","22"
"Male","16"
"","38"
"Kumal",""
"Female","363"
"Male","268"
"","631"
"Magar",""
"Female","507"
"Male","376"
"","883"
"Musalman",""
"Female","270"
"Male","215"
"","485"
"Newar",""
"Female","569"
"Male","437"
"","1006"
"Others",""
"Female","20"
"Male","22"
"","42"
"Rai",""
"Female","9"
"Male","8"
"","17"
"Sanyasi/Dasnami",""
"Female","38"
"Male","32"
"","70"
"Sarki",""
"Female","308"
"Male","257"
"","565"
"Tamang",""
"Female","15"
"Male","14"
"","29"
"Thakuri",""
"Female","369"
"Male","273"
"","642"
