"Population by disability type","Number"
"Blind/low vision",""
"Female","43"
"Male","29"
"","72"
"Deaf/hard of hearing",""
"Female","84"
"Male","104"
"","188"
"Deaf-Blind",""
"Female","1"
"Male","4"
"","5"
"Intellectual disable",""
"Female","17"
"Male","15"
"","32"
"Mental disable",""
"Female","13"
"Male","14"
"","27"
"Multiple disable",""
"Female","33"
"Male","44"
"","77"
"No disability",""
"Female","9787"
"Male","8194"
"","17981"
"Physical",""
"Female","77"
"Male","99"
"","176"
"Speech problem",""
"Female","85"
"Male","116"
"","201"
