"Population by Five Years Age Group","Number"
"0-4",""
"Female","1058"
"Male","1135"
"10-14",""
"Female","1821"
"Male","1797"
"15-19",""
"Female","1547"
"Male","1395"
"20-24",""
"Female","1329"
"Male","649"
"25-29",""
"Female","1253"
"Male","593"
"30-34",""
"Female","1037"
"Male","517"
"35-39",""
"Female","991"
"Male","569"
"40-44",""
"Female","902"
"Male","583"
"45-49",""
"Female","790"
"Male","559"
"50-54",""
"Female","697"
"Male","597"
"55-59",""
"Female","567"
"Male","452"
"5-9",""
"Female","1442"
"Male","1594"
"60-64",""
"Female","560"
"Male","447"
"65-69",""
"Female","416"
"Male","364"
"70-74",""
"Female","260"
"Male","273"
"75+",""
"Female","445"
"Male","380"
