"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","3268"
"Male","2543"
"","5811"
"Brahman - Tarai",""
"Female","14"
"Male","15"
"","29"
"Chepang /Praja",""
"Female","2"
"Male","20"
"","22"
"Chhetri",""
"Female","2534"
"Male","1874"
"","4408"
"Damai/Dholi",""
"Female","614"
"Male","519"
"","1133"
"Dura",""
"Female","1175"
"Male","805"
"","1980"
"Foreigner",""
"Female","0"
"Male","12"
"","12"
"Gaine",""
"Female","11"
"Male","12"
"","23"
"Ghale",""
"Female","63"
"Male","53"
"","116"
"Gharti/Bhujel",""
"Female","608"
"Male","470"
"","1078"
"Gurung",""
"Female","2489"
"Male","1938"
"","4427"
"Kalwar",""
"Female","3"
"Male","9"
"","12"
"Kami",""
"Female","956"
"Male","773"
"","1729"
"Kumal",""
"Female","269"
"Male","215"
"","484"
"Magar",""
"Female","219"
"Male","201"
"","420"
"Musalman",""
"Female","134"
"Male","114"
"","248"
"Newar",""
"Female","736"
"Male","611"
"","1347"
"Others",""
"Female","38"
"Male","54"
"","92"
"Rai",""
"Female","13"
"Male","23"
"","36"
"Sanyasi/Dasnami",""
"Female","71"
"Male","66"
"","137"
"Sarki",""
"Female","1058"
"Male","786"
"","1844"
"Tamang",""
"Female","590"
"Male","457"
"","1047"
"Thakuri",""
"Female","204"
"Male","154"
"","358"
"Tharu",""
"Female","26"
"Male","45"
"","71"
