"Population by Five Years Age Group","Number"
"0-4",""
"Female","57"
"Male","54"
"10-14",""
"Female","101"
"Male","104"
"15-19",""
"Female","81"
"Male","152"
"20-24",""
"Female","93"
"Male","156"
"25-29",""
"Female","87"
"Male","157"
"30-34",""
"Female","74"
"Male","114"
"35-39",""
"Female","91"
"Male","108"
"40-44",""
"Female","73"
"Male","80"
"45-49",""
"Female","45"
"Male","75"
"50-54",""
"Female","45"
"Male","67"
"55-59",""
"Female","65"
"Male","51"
"5-9",""
"Female","81"
"Male","95"
"60-64",""
"Female","50"
"Male","38"
"65-69",""
"Female","40"
"Male","30"
"70-74",""
"Female","46"
"Male","30"
"75+",""
"Female","41"
"Male","33"
