"Population by Caste Ethinicity","Number"
"Bhote",""
"Female","6"
"Male","11"
"","17"
"Bote",""
"Female","6"
"Male","7"
"","13"
"Brahman - Hill",""
"Female","5"
"Male","51"
"","56"
"Chhetri",""
"Female","6"
"Male","27"
"","33"
"Ghale",""
"Female","83"
"Male","98"
"","181"
"Gurung",""
"Female","791"
"Male","828"
"","1619"
"Kami",""
"Female","52"
"Male","53"
"","105"
"Magar",""
"Female","9"
"Male","28"
"","37"
"Others",""
"Female","1"
"Male","16"
"","17"
"Rai",""
"Female","10"
"Male","9"
"","19"
"Sherpa",""
"Female","7"
"Male","9"
"","16"
"Tamang",""
"Female","41"
"Male","68"
"","109"
