"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","18"
"Male","11"
"Brahman - Hill",""
"Female","35"
"Male","133"
"Chhetri",""
"Female","47"
"Male","83"
"Damai/Dholi",""
"Female","98"
"Male","100"
"Gurung",""
"Female","215"
"Male","182"
"Kami",""
"Female","198"
"Male","203"
"Magar",""
"Female","139"
"Male","164"
"Newar",""
"Female","19"
"Male","30"
"Others",""
"Female","27"
"Male","42"
"Rai",""
"Female","16"
"Male","17"
"Sarki",""
"Female","9"
"Male","23"
"Sherpa",""
"Female","6"
"Male","37"
"Tamang",""
"Female","80"
"Male","59"
"Thakali",""
"Female","511"
"Male","479"
"Thakuri",""
"Female","7"
"Male","12"
"Tharu",""
"Female","10"
"Male","19"
