"Population by Single Year of Age","Number"
"0",""
"Female","19"
"Male","14"
"1",""
"Female","6"
"Male","8"
"10",""
"Female","6"
"Male","7"
"11",""
"Female","7"
"Male","8"
"12",""
"Female","7"
"Male","6"
"13",""
"Female","7"
"Male","5"
"14",""
"Female","5"
"Male","2"
"15",""
"Female","10"
"Male","4"
"16",""
"Female","6"
"Male","7"
"17",""
"Female","6"
"Male","6"
"18",""
"Female","11"
"Male","11"
"19",""
"Female","14"
"Male","10"
"2",""
"Female","9"
"Male","11"
"20",""
"Female","19"
"Male","11"
"21",""
"Female","13"
"Male","13"
"22",""
"Female","10"
"Male","13"
"23",""
"Female","11"
"Male","10"
"24",""
"Female","13"
"Male","10"
"25",""
"Female","17"
"Male","15"
"26",""
"Female","17"
"Male","13"
"27",""
"Female","15"
"Male","19"
"28",""
"Female","24"
"Male","18"
"29",""
"Female","11"
"Male","19"
"3",""
"Female","8"
"Male","12"
"30",""
"Female","16"
"Male","20"
"31",""
"Female","8"
"Male","9"
"32",""
"Female","8"
"Male","15"
"33",""
"Female","12"
"Male","11"
"34",""
"Female","10"
"Male","8"
"35",""
"Female","17"
"Male","20"
"36",""
"Female","12"
"Male","14"
"37",""
"Female","17"
"Male","13"
"38",""
"Female","9"
"Male","14"
"39",""
"Female","12"
"Male","12"
"4",""
"Female","15"
"Male","13"
"40",""
"Female","14"
"Male","14"
"41",""
"Female","5"
"Male","12"
"42",""
"Female","18"
"Male","9"
"43",""
"Female","12"
"Male","8"
"44",""
"Female","13"
"Male","8"
"45",""
"Female","13"
"Male","11"
"46",""
"Female","23"
"Male","18"
"47",""
"Female","7"
"Male","8"
"48",""
"Female","13"
"Male","13"
"49",""
"Female","16"
"Male","7"
"5",""
"Female","11"
"Male","18"
"50",""
"Female","12"
"Male","17"
"51",""
"Female","14"
"Male","16"
"52",""
"Female","11"
"Male","13"
"53",""
"Female","14"
"Male","10"
"54",""
"Female","8"
"Male","7"
"55",""
"Female","15"
"Male","10"
"56",""
"Female","7"
"Male","12"
"57",""
"Female","10"
"Male","7"
"58",""
"Female","13"
"Male","10"
"59",""
"Female","6"
"Male","7"
"6",""
"Female","18"
"Male","15"
"60",""
"Female","8"
"Male","14"
"61",""
"Female","4"
"Male","6"
"62",""
"Female","8"
"Male","8"
"63",""
"Female","4"
"Male","5"
"64",""
"Female","5"
"Male","6"
"65",""
"Female","8"
"Male","6"
"66",""
"Female","2"
"Male","7"
"67",""
"Female","2"
"Male","6"
"68",""
"Female","5"
"Male","9"
"69",""
"Female","4"
"Male","4"
"7",""
"Female","15"
"Male","6"
"70",""
"Female","6"
"Male","5"
"71",""
"Female","5"
"Male","4"
"72",""
"Female","4"
"Male","1"
"73",""
"Female","4"
"Male","5"
"74",""
"Female","4"
"Male","2"
"75",""
"Female","5"
"Male","2"
"76",""
"Female","1"
"Male","0"
"77",""
"Female","1"
"Male","4"
"78",""
"Female","1"
"Male","0"
"79",""
"Female","2"
"Male","1"
"8",""
"Female","6"
"Male","11"
"80",""
"Female","3"
"Male","0"
"81",""
"Female","1"
"Male","0"
"83",""
"Female","0"
"Male","1"
"85",""
"Female","2"
"Male","0"
"9",""
"Female","6"
"Male","9"
