"Population by Five Years Age Group","Number"
"0-4",""
"Female","72"
"Male","57"
"10-14",""
"Female","91"
"Male","127"
"15-19",""
"Female","95"
"Male","95"
"20-24",""
"Female","99"
"Male","98"
"25-29",""
"Female","123"
"Male","117"
"30-34",""
"Female","95"
"Male","87"
"35-39",""
"Female","74"
"Male","73"
"40-44",""
"Female","73"
"Male","81"
"45-49",""
"Female","73"
"Male","74"
"50-54",""
"Female","66"
"Male","74"
"55-59",""
"Female","58"
"Male","55"
"5-9",""
"Female","97"
"Male","98"
"60-64",""
"Female","60"
"Male","59"
"65-69",""
"Female","35"
"Male","42"
"70-74",""
"Female","26"
"Male","37"
"75+",""
"Female","15"
"Male","24"
