"Population by Educational Attainment","Number"
"Beginners",""
"Female","35"
"Male","31"
"Graduate and Equivalent",""
"Female","11"
"Male","34"
"Intermediate and Equivalent",""
"Female","24"
"Male","66"
"Level not Stated",""
"Female","1"
"Male","5"
"Lower Secondary (Class 6-8)",""
"Female","176"
"Male","226"
"Non Formal Education",""
"Female","37"
"Male","43"
"Others",""
"Female","1"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","6"
"Primary Education (1-5 Class)",""
"Female","406"
"Male","500"
"Secondary Level (Class 9-10)",""
"Female","68"
"Male","81"
"SLC and Equivalent",""
"Female","81"
"Male","127"
