"Industries Types","Number"
"Accommodation and food","383"
"Administrative and support service activity","6"
"Agriculture, forestry and fishing","6"
"Art, entertainment and recreation","2"
"Construction","13"
"Education","48"
"Electricty gas and water","0"
"Financial intermediation and insurance","15"
"Health and social work","26"
"Information and communications","2"
"Manufacturing","45"
"Mining and quarrying","0"
"Other service activities","32"
"Professional,scientific and techniqual activity","0"
"Real state, renting and business activities","0"
"Transport and storage","14"
"Water supply, wet management","0"
"Wholesale and retail trade","183"
"Total","775"
