"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","410"
"Male","297"
"","707"
"Chhantyal/Chhantel",""
"Female","732"
"Male","651"
"","1383"
"Chhetri",""
"Female","1049"
"Male","770"
"","1819"
"Dalit Others",""
"Female","82"
"Male","72"
"","154"
"Damai/Dholi",""
"Female","159"
"Male","105"
"","264"
"Gharti/Bhujel",""
"Female","7"
"Male","6"
"","13"
"Gurung",""
"Female","139"
"Male","122"
"","261"
"Kami",""
"Female","2381"
"Male","1975"
"","4356"
"Magar",""
"Female","2584"
"Male","2148"
"","4732"
"Others",""
"Female","17"
"Male","22"
"","39"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","9"
"","16"
"Sarki",""
"Female","39"
"Male","40"
"","79"
"Thakali",""
"Female","46"
"Male","45"
"","91"
"Thakuri",""
"Female","118"
"Male","72"
"","190"
