"Population by Five Years Age Group","Number"
"0-4",""
"Female","863"
"Male","762"
"10-14",""
"Female","963"
"Male","853"
"15-19",""
"Female","939"
"Male","745"
"20-24",""
"Female","794"
"Male","424"
"25-29",""
"Female","662"
"Male","381"
"30-34",""
"Female","496"
"Male","299"
"35-39",""
"Female","498"
"Male","288"
"40-44",""
"Female","504"
"Male","307"
"45-49",""
"Female","459"
"Male","361"
"50-54",""
"Female","408"
"Male","334"
"55-59",""
"Female","357"
"Male","307"
"5-9",""
"Female","840"
"Male","890"
"60-64",""
"Female","391"
"Male","311"
"65-69",""
"Female","248"
"Male","231"
"70-74",""
"Female","228"
"Male","173"
"75+",""
"Female","222"
"Male","234"
