"Industries Employment","Number"
"Accommodation,  food",""
"Female","820"
"Male","704"
"Administrative, support service",""
"Female","5"
"Male","18"
"Agriculture, forestry and  fishing",""
"Female","635"
"Male","960"
"Arts, entertainment, recreation",""
"Female","6"
"Male","23"
"Construction",""
"Female","6"
"Male","178"
"Education",""
"Female","1293"
"Male","1405"
"Electricity, gas and water",""
"Female","29"
"Male","391"
"Financial intermediation and insurance",""
"Female","632"
"Male","247"
"Health, social work",""
"Female","1021"
"Male","309"
"Information and communication",""
"Female","17"
"Male","49"
"Manufacturing",""
"Female","817"
"Male","1045"
"Other service activities",""
"Female","465"
"Male","543"
"Professional, scientific, techniqual activity",""
"Female","16"
"Male","29"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","112"
"Male","256"
"Water supply, wet management",""
"Female","3"
"Male","15"
"Wholesale, retail trade",""
"Female","2277"
"Male","2270"
