"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","505"
"Male","423"
"Chhetri",""
"Female","539"
"Male","411"
"Damai/Dholi",""
"Female","361"
"Male","306"
"Darai",""
"Female","175"
"Male","131"
"Gharti/Bhujel",""
"Female","79"
"Male","83"
"Gurung",""
"Female","63"
"Male","52"
"Kami",""
"Female","702"
"Male","514"
"Magar",""
"Female","5564"
"Male","4476"
"Musalman",""
"Female","12"
"Male","11"
"Newar",""
"Female","306"
"Male","257"
"Others",""
"Female","19"
"Male","22"
"Sarki",""
"Female","306"
"Male","218"
"Thakuri",""
"Female","106"
"Male","77"
"Tharu",""
"Female","7"
"Male","9"
