"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","40"
"Male","31"
"Bangali",""
"Female","13"
"Male","16"
"Baraee",""
"Female","13"
"Male","12"
"Bote",""
"Female","10"
"Male","10"
"Brahman - Hill",""
"Female","2472"
"Male","1965"
"Brahman - Tarai",""
"Female","23"
"Male","24"
"Chamar/ Harijan/ Ram",""
"Female","47"
"Male","60"
"Chhetri",""
"Female","1622"
"Male","1269"
"Damai/Dholi",""
"Female","390"
"Male","309"
"Darai",""
"Female","95"
"Male","76"
"Dhobi",""
"Female","23"
"Male","24"
"Gurung",""
"Female","716"
"Male","570"
"Hajam/Thakur",""
"Female","3"
"Male","8"
"Halwai",""
"Female","22"
"Male","26"
"Kahar",""
"Female","24"
"Male","19"
"Kalwar",""
"Female","22"
"Male","14"
"Kami",""
"Female","1511"
"Male","1201"
"Kathabaniyan",""
"Female","211"
"Male","204"
"Koiri/Kushwaha",""
"Female","51"
"Male","49"
"Kumal",""
"Female","647"
"Male","526"
"Kurmi",""
"Female","39"
"Male","31"
"Magar",""
"Female","7614"
"Male","6121"
"Mallaha",""
"Female","94"
"Male","87"
"Musahar",""
"Female","160"
"Male","174"
"Musalman",""
"Female","295"
"Male","280"
"Newar",""
"Female","442"
"Male","353"
"Others",""
"Female","50"
"Male","53"
"Rai",""
"Female","44"
"Male","27"
"Rajbhar",""
"Female","15"
"Male","10"
"Rajput",""
"Female","10"
"Male","11"
"Sanyasi/Dasnami",""
"Female","94"
"Male","81"
"Sarki",""
"Female","171"
"Male","136"
"Tamang",""
"Female","246"
"Male","229"
"Teli",""
"Female","43"
"Male","49"
"Terai Others",""
"Female","21"
"Male","19"
"Thakali",""
"Female","12"
"Male","14"
"Thakuri",""
"Female","267"
"Male","167"
"Tharu",""
"Female","562"
"Male","487"
"Yadav",""
"Female","35"
"Male","32"
