"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","114"
"Male","235"
"Bote",""
"Female","137"
"Male","153"
"Darai",""
"Female","54"
"Male","42"
"Gurung",""
"Female","316"
"Male","252"
"Hindi",""
"Female","17"
"Male","13"
"Magar",""
"Female","4895"
"Male","4021"
"Maithili",""
"Female","67"
"Male","82"
"Majhi",""
"Female","117"
"Male","122"
"Nepali",""
"Female","14962"
"Male","12554"
"Newar",""
"Female","406"
"Male","388"
"Not Reported",""
"Female","20"
"Male","17"
"Others",""
"Female","29"
"Male","25"
"Tamang",""
"Female","450"
"Male","411"
"Tharu",""
"Female","1389"
"Male","1264"
"Urdu",""
"Female","27"
"Male","24"
