"Population by Single Year of Age","Number"
"0",""
"Female","391"
"Male","505"
"1",""
"Female","343"
"Male","388"
"10",""
"Female","681"
"Male","781"
"11",""
"Female","658"
"Male","729"
"12",""
"Female","716"
"Male","893"
"13",""
"Female","752"
"Male","799"
"14",""
"Female","763"
"Male","801"
"15",""
"Female","770"
"Male","724"
"16",""
"Female","682"
"Male","775"
"17",""
"Female","703"
"Male","676"
"18",""
"Female","809"
"Male","837"
"19",""
"Female","638"
"Male","587"
"2",""
"Female","441"
"Male","452"
"20",""
"Female","735"
"Male","688"
"21",""
"Female","645"
"Male","498"
"22",""
"Female","682"
"Male","565"
"23",""
"Female","627"
"Male","421"
"24",""
"Female","621"
"Male","434"
"25",""
"Female","764"
"Male","500"
"26",""
"Female","565"
"Male","362"
"27",""
"Female","565"
"Male","343"
"28",""
"Female","716"
"Male","425"
"29",""
"Female","404"
"Male","343"
"3",""
"Female","413"
"Male","426"
"30",""
"Female","830"
"Male","537"
"31",""
"Female","312"
"Male","259"
"32",""
"Female","567"
"Male","387"
"33",""
"Female","380"
"Male","277"
"34",""
"Female","427"
"Male","288"
"35",""
"Female","757"
"Male","535"
"36",""
"Female","386"
"Male","328"
"37",""
"Female","333"
"Male","204"
"38",""
"Female","449"
"Male","374"
"39",""
"Female","253"
"Male","222"
"4",""
"Female","423"
"Male","514"
"40",""
"Female","715"
"Male","605"
"41",""
"Female","204"
"Male","197"
"42",""
"Female","340"
"Male","287"
"43",""
"Female","234"
"Male","228"
"44",""
"Female","234"
"Male","185"
"45",""
"Female","487"
"Male","451"
"46",""
"Female","255"
"Male","198"
"47",""
"Female","223"
"Male","175"
"48",""
"Female","288"
"Male","305"
"49",""
"Female","175"
"Male","170"
"5",""
"Female","515"
"Male","583"
"50",""
"Female","441"
"Male","440"
"51",""
"Female","177"
"Male","173"
"52",""
"Female","246"
"Male","228"
"53",""
"Female","172"
"Male","147"
"54",""
"Female","154"
"Male","173"
"55",""
"Female","290"
"Male","273"
"56",""
"Female","176"
"Male","173"
"57",""
"Female","159"
"Male","134"
"58",""
"Female","154"
"Male","199"
"59",""
"Female","103"
"Male","113"
"6",""
"Female","531"
"Male","623"
"60",""
"Female","318"
"Male","307"
"61",""
"Female","99"
"Male","123"
"62",""
"Female","135"
"Male","123"
"63",""
"Female","83"
"Male","81"
"64",""
"Female","90"
"Male","97"
"65",""
"Female","231"
"Male","188"
"66",""
"Female","99"
"Male","94"
"67",""
"Female","94"
"Male","96"
"68",""
"Female","145"
"Male","167"
"69",""
"Female","58"
"Male","63"
"7",""
"Female","558"
"Male","616"
"70",""
"Female","239"
"Male","170"
"71",""
"Female","41"
"Male","70"
"72",""
"Female","89"
"Male","100"
"73",""
"Female","66"
"Male","62"
"74",""
"Female","35"
"Male","43"
"75",""
"Female","134"
"Male","97"
"76",""
"Female","56"
"Male","49"
"77",""
"Female","50"
"Male","44"
"78",""
"Female","82"
"Male","84"
"79",""
"Female","19"
"Male","33"
"8",""
"Female","579"
"Male","703"
"80",""
"Female","85"
"Male","65"
"81",""
"Female","23"
"Male","27"
"82",""
"Female","39"
"Male","30"
"83",""
"Female","28"
"Male","28"
"84",""
"Female","33"
"Male","31"
"85",""
"Female","137"
"Male","111"
"9",""
"Female","532"
"Male","600"
