"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","7"
"Male","58"
"Doteli",""
"Female","10"
"Male","3"
"Gurung",""
"Female","139"
"Male","98"
"Kumal",""
"Female","121"
"Male","90"
"Magar",""
"Female","8039"
"Male","6788"
"Nepali",""
"Female","4912"
"Male","3726"
"Newar",""
"Female","66"
"Male","36"
"Not Reported",""
"Female","10"
"Male","7"
"Others",""
"Female","12"
"Male","15"
"Sign Language",""
"Female","6"
"Male","6"
"Tamang",""
"Female","91"
"Male","82"
"Tharu",""
"Female","373"
"Male","359"
"Urdu",""
"Female","7"
"Male","4"
