"Population by Caste Ethinicity","Number"
"Badi",""
"Female","20"
"Male","11"
"","31"
"Brahman - Hill",""
"Female","1180"
"Male","921"
"","2101"
"Chhetri",""
"Female","388"
"Male","283"
"","671"
"Dalit Others",""
"Female","208"
"Male","135"
"","343"
"Damai/Dholi",""
"Female","548"
"Male","444"
"","992"
"Darai",""
"Female","17"
"Male","12"
"","29"
"Gharti/Bhujel",""
"Female","21"
"Male","17"
"","38"
"Gurung",""
"Female","262"
"Male","198"
"","460"
"Kami",""
"Female","746"
"Male","544"
"","1290"
"Kumal",""
"Female","291"
"Male","212"
"","503"
"Magar",""
"Female","8691"
"Male","7306"
"","15997"
"Musalman",""
"Female","9"
"Male","7"
"","16"
"Newar",""
"Female","133"
"Male","84"
"","217"
"Others",""
"Female","29"
"Male","51"
"","80"
"Sanyasi/Dasnami",""
"Female","10"
"Male","6"
"","16"
"Sarki",""
"Female","84"
"Male","51"
"","135"
"Tamang",""
"Female","124"
"Male","101"
"","225"
"Thakuri",""
"Female","612"
"Male","471"
"","1083"
"Tharu",""
"Female","420"
"Male","404"
"","824"
"Yadav",""
"Female","0"
"Male","14"
"","14"
