"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2661"
"Male","2234"
"Chhantyal/Chhantel",""
"Female","31"
"Male","30"
"Chhetri",""
"Female","2479"
"Male","1922"
"Damai/Dholi",""
"Female","1965"
"Male","1648"
"Gurung",""
"Female","91"
"Male","81"
"Kami",""
"Female","658"
"Male","526"
"Limbu",""
"Female","7"
"Male","4"
"Magar",""
"Female","2819"
"Male","2307"
"Majhi",""
"Female","9"
"Male","10"
"Musalman",""
"Female","70"
"Male","101"
"Newar",""
"Female","171"
"Male","121"
"Others",""
"Female","21"
"Male","31"
"Rai",""
"Female","23"
"Male","30"
"Sanyasi/Dasnami",""
"Female","107"
"Male","84"
"Sarki",""
"Female","303"
"Male","242"
"Tamang",""
"Female","38"
"Male","57"
"Teli",""
"Female","0"
"Male","18"
"Thakali",""
"Female","13"
"Male","9"
"Thakuri",""
"Female","270"
"Male","233"
"Tharu",""
"Female","10"
"Male","20"
