"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","48"
"Male","55"
"Brahman - Hill",""
"Female","9305"
"Male","7340"
"Chhetri",""
"Female","3125"
"Male","2394"
"Damai/Dholi",""
"Female","1683"
"Male","1335"
"Gharti/Bhujel",""
"Female","94"
"Male","78"
"Gurung",""
"Female","804"
"Male","655"
"Hajam/Thakur",""
"Female","0"
"Male","11"
"Halwai",""
"Female","6"
"Male","6"
"Kami",""
"Female","1835"
"Male","1564"
"Kumal",""
"Female","71"
"Male","73"
"Limbu",""
"Female","7"
"Male","10"
"Magar",""
"Female","893"
"Male","765"
"Majhi",""
"Female","78"
"Male","56"
"Musalman",""
"Female","129"
"Male","147"
"Newar",""
"Female","743"
"Male","668"
"Others",""
"Female","34"
"Male","41"
"Rai",""
"Female","52"
"Male","38"
"Sanyasi/Dasnami",""
"Female","638"
"Male","511"
"Sarki",""
"Female","1971"
"Male","1614"
"Tamang",""
"Female","60"
"Male","75"
"Teli",""
"Female","6"
"Male","10"
"Thakali",""
"Female","34"
"Male","30"
"Thakuri",""
"Female","211"
"Male","205"
"Tharu",""
"Female","26"
"Male","36"
"Yadav",""
"Female","8"
"Male","22"
