"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","6"
"Male","5"
"Bote",""
"Female","10"
"Male","4"
"Brahman - Hill",""
"Female","6046"
"Male","4503"
"Chhetri",""
"Female","3806"
"Male","2802"
"Damai/Dholi",""
"Female","667"
"Male","569"
"Gharti/Bhujel",""
"Female","70"
"Male","42"
"Gurung",""
"Female","188"
"Male","168"
"Kami",""
"Female","1208"
"Male","957"
"Kumal",""
"Female","36"
"Male","26"
"Magar",""
"Female","248"
"Male","221"
"Majhi",""
"Female","20"
"Male","21"
"Musalman",""
"Female","37"
"Male","38"
"Newar",""
"Female","566"
"Male","448"
"Others",""
"Female","14"
"Male","16"
"Sanyasi/Dasnami",""
"Female","36"
"Male","32"
"Sarki",""
"Female","1000"
"Male","757"
"Terai Others",""
"Female","8"
"Male","4"
"Thakuri",""
"Female","52"
"Male","45"
"Undefined Others",""
"Female","4"
"Male","7"
