"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","26"
"Male","118"
"Gurung",""
"Female","2389"
"Male","1962"
"Hindi",""
"Female","19"
"Male","64"
"Kham",""
"Female","13"
"Male","8"
"Limbu",""
"Female","6"
"Male","5"
"Magar",""
"Female","3340"
"Male","2632"
"Maithili",""
"Female","18"
"Male","57"
"Nepali",""
"Female","74714"
"Male","58897"
"Newar",""
"Female","508"
"Male","428"
"Not Reported",""
"Female","30"
"Male","17"
"Others",""
"Female","88"
"Male","114"
"Rai",""
"Female","29"
"Male","26"
"Tamang",""
"Female","30"
"Male","62"
"Thakali",""
"Female","10"
"Male","13"
"Tharu",""
"Female","12"
"Male","19"
"Urdu",""
"Female","5"
"Male","8"
