"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2675"
"Male","2058"
"Chhetri",""
"Female","3723"
"Male","2608"
"Damai/Dholi",""
"Female","410"
"Male","332"
"Gaine",""
"Female","23"
"Male","13"
"Gharti/Bhujel",""
"Female","191"
"Male","176"
"Gurung",""
"Female","2364"
"Male","1859"
"Kami",""
"Female","1020"
"Male","808"
"Khawas",""
"Female","77"
"Male","49"
"Magar",""
"Female","1565"
"Male","1150"
"Majhi",""
"Female","155"
"Male","154"
"Musalman",""
"Female","273"
"Male","199"
"Newar",""
"Female","581"
"Male","463"
"Others",""
"Female","30"
"Male","22"
"Sanyasi/Dasnami",""
"Female","107"
"Male","65"
"Sarki",""
"Female","852"
"Male","633"
"Thakuri",""
"Female","546"
"Male","390"
"Tharu",""
"Female","7"
"Male","5"
