"Population by Five Years Age Group","Number"
"0-4",""
"Female","451"
"Male","504"
"10-14",""
"Female","764"
"Male","715"
"15-19",""
"Female","787"
"Male","713"
"20-24",""
"Female","617"
"Male","353"
"25-29",""
"Female","564"
"Male","240"
"30-34",""
"Female","476"
"Male","208"
"35-39",""
"Female","454"
"Male","171"
"40-44",""
"Female","403"
"Male","208"
"45-49",""
"Female","372"
"Male","214"
"50-54",""
"Female","373"
"Male","250"
"55-59",""
"Female","329"
"Male","256"
"5-9",""
"Female","596"
"Male","627"
"60-64",""
"Female","272"
"Male","233"
"65-69",""
"Female","249"
"Male","193"
"70-74",""
"Female","165"
"Male","165"
"75+",""
"Female","210"
"Male","209"
