"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","35"
"Male","69"
"Bhujel",""
"Female","182"
"Male","136"
"Gurung",""
"Female","2319"
"Male","1793"
"Hindi",""
"Female","21"
"Male","30"
"Kumal",""
"Female","29"
"Male","29"
"Limbu",""
"Female","7"
"Male","4"
"Magar",""
"Female","1152"
"Male","921"
"Maithili",""
"Female","17"
"Male","15"
"Nepali",""
"Female","20813"
"Male","16069"
"Newar",""
"Female","387"
"Male","332"
"Not Reported",""
"Female","12"
"Male","7"
"Others",""
"Female","9"
"Male","15"
"Rai",""
"Female","19"
"Male","22"
"Thakali",""
"Female","11"
"Male","6"
"Tharu",""
"Female","4"
"Male","17"
"Urdu",""
"Female","221"
"Male","173"
