"Population by Five Years Age Group","Number"
"0-4",""
"Female","1980"
"Male","2159"
"10-14",""
"Female","3410"
"Male","3596"
"15-19",""
"Female","3313"
"Male","2959"
"20-24",""
"Female","2851"
"Male","1676"
"25-29",""
"Female","2357"
"Male","1179"
"30-34",""
"Female","1958"
"Male","1000"
"35-39",""
"Female","1788"
"Male","970"
"40-44",""
"Female","1583"
"Male","952"
"45-49",""
"Female","1398"
"Male","926"
"50-54",""
"Female","1252"
"Male","950"
"55-59",""
"Female","1091"
"Male","876"
"5-9",""
"Female","2710"
"Male","2918"
"60-64",""
"Female","1086"
"Male","813"
"65-69",""
"Female","701"
"Male","653"
"70-74",""
"Female","523"
"Male","503"
"75+",""
"Female","678"
"Male","628"
