"Population by Mother tongue","Number"
"Bangla",""
"Female","6"
"Male","19"
"Bhojpuri",""
"Female","55"
"Male","111"
"Bhujel",""
"Female","150"
"Male","135"
"Gurung",""
"Female","1800"
"Male","1344"
"Hindi",""
"Female","11"
"Male","24"
"Magar",""
"Female","1472"
"Male","1294"
"Maithili",""
"Female","17"
"Male","53"
"Nepali",""
"Female","7416"
"Male","6234"
"Newar",""
"Female","198"
"Male","154"
"Not Reported",""
"Female","40"
"Male","42"
"Others",""
"Female","12"
"Male","13"
"Rai",""
"Female","13"
"Male","12"
"Sign Language",""
"Female","8"
"Male","4"
"Tamang",""
"Female","40"
"Male","40"
"Thakali",""
"Female","7"
"Male","6"
"Urdu",""
"Female","19"
"Male","19"
