"Population by Single Year of Age","Number"
"0",""
"Female","157"
"Male","160"
"1",""
"Female","142"
"Male","149"
"10",""
"Female","277"
"Male","270"
"11",""
"Female","279"
"Male","259"
"12",""
"Female","317"
"Male","324"
"13",""
"Female","274"
"Male","267"
"14",""
"Female","283"
"Male","276"
"15",""
"Female","268"
"Male","265"
"16",""
"Female","252"
"Male","233"
"17",""
"Female","219"
"Male","216"
"18",""
"Female","245"
"Male","206"
"19",""
"Female","179"
"Male","140"
"2",""
"Female","153"
"Male","171"
"20",""
"Female","202"
"Male","141"
"21",""
"Female","175"
"Male","107"
"22",""
"Female","227"
"Male","125"
"23",""
"Female","181"
"Male","101"
"24",""
"Female","180"
"Male","89"
"25",""
"Female","251"
"Male","119"
"26",""
"Female","192"
"Male","90"
"27",""
"Female","148"
"Male","91"
"28",""
"Female","200"
"Male","106"
"29",""
"Female","124"
"Male","76"
"3",""
"Female","144"
"Male","147"
"30",""
"Female","216"
"Male","116"
"31",""
"Female","120"
"Male","66"
"32",""
"Female","161"
"Male","102"
"33",""
"Female","130"
"Male","83"
"34",""
"Female","127"
"Male","87"
"35",""
"Female","210"
"Male","129"
"36",""
"Female","139"
"Male","76"
"37",""
"Female","93"
"Male","68"
"38",""
"Female","121"
"Male","106"
"39",""
"Female","96"
"Male","68"
"4",""
"Female","193"
"Male","188"
"40",""
"Female","265"
"Male","163"
"41",""
"Female","70"
"Male","77"
"42",""
"Female","113"
"Male","88"
"43",""
"Female","94"
"Male","80"
"44",""
"Female","75"
"Male","65"
"45",""
"Female","165"
"Male","130"
"46",""
"Female","83"
"Male","63"
"47",""
"Female","79"
"Male","62"
"48",""
"Female","123"
"Male","104"
"49",""
"Female","89"
"Male","73"
"5",""
"Female","199"
"Male","205"
"50",""
"Female","194"
"Male","181"
"51",""
"Female","63"
"Male","66"
"52",""
"Female","94"
"Male","93"
"53",""
"Female","53"
"Male","73"
"54",""
"Female","72"
"Male","47"
"55",""
"Female","145"
"Male","99"
"56",""
"Female","71"
"Male","86"
"57",""
"Female","63"
"Male","57"
"58",""
"Female","56"
"Male","74"
"59",""
"Female","51"
"Male","44"
"6",""
"Female","221"
"Male","190"
"60",""
"Female","182"
"Male","110"
"61",""
"Female","64"
"Male","66"
"62",""
"Female","52"
"Male","56"
"63",""
"Female","50"
"Male","52"
"64",""
"Female","46"
"Male","39"
"65",""
"Female","93"
"Male","80"
"66",""
"Female","43"
"Male","33"
"67",""
"Female","39"
"Male","49"
"68",""
"Female","57"
"Male","59"
"69",""
"Female","23"
"Male","23"
"7",""
"Female","193"
"Male","236"
"70",""
"Female","84"
"Male","71"
"71",""
"Female","19"
"Male","35"
"72",""
"Female","34"
"Male","39"
"73",""
"Female","20"
"Male","26"
"74",""
"Female","22"
"Male","28"
"75",""
"Female","61"
"Male","43"
"76",""
"Female","36"
"Male","32"
"77",""
"Female","28"
"Male","18"
"78",""
"Female","31"
"Male","34"
"79",""
"Female","16"
"Male","18"
"8",""
"Female","270"
"Male","221"
"80",""
"Female","46"
"Male","32"
"81",""
"Female","15"
"Male","14"
"82",""
"Female","19"
"Male","19"
"83",""
"Female","12"
"Male","8"
"84",""
"Female","13"
"Male","17"
"85",""
"Female","65"
"Male","55"
"9",""
"Female","241"
"Male","240"
