"Population by Single Year of Age","Number"
"0",""
"Female","385"
"Male","317"
"1",""
"Female","321"
"Male","383"
"10",""
"Female","558"
"Male","566"
"11",""
"Female","524"
"Male","544"
"12",""
"Female","668"
"Male","604"
"13",""
"Female","628"
"Male","575"
"14",""
"Female","640"
"Male","614"
"15",""
"Female","618"
"Male","605"
"16",""
"Female","644"
"Male","572"
"17",""
"Female","600"
"Male","481"
"18",""
"Female","591"
"Male","520"
"19",""
"Female","405"
"Male","295"
"2",""
"Female","340"
"Male","389"
"20",""
"Female","470"
"Male","362"
"21",""
"Female","470"
"Male","228"
"22",""
"Female","561"
"Male","265"
"23",""
"Female","438"
"Male","198"
"24",""
"Female","394"
"Male","195"
"25",""
"Female","556"
"Male","272"
"26",""
"Female","409"
"Male","192"
"27",""
"Female","371"
"Male","211"
"28",""
"Female","399"
"Male","193"
"29",""
"Female","235"
"Male","131"
"3",""
"Female","370"
"Male","351"
"30",""
"Female","607"
"Male","253"
"31",""
"Female","228"
"Male","102"
"32",""
"Female","328"
"Male","193"
"33",""
"Female","197"
"Male","123"
"34",""
"Female","213"
"Male","105"
"35",""
"Female","701"
"Male","280"
"36",""
"Female","298"
"Male","127"
"37",""
"Female","207"
"Male","93"
"38",""
"Female","301"
"Male","173"
"39",""
"Female","153"
"Male","98"
"4",""
"Female","421"
"Male","410"
"40",""
"Female","741"
"Male","321"
"41",""
"Female","163"
"Male","107"
"42",""
"Female","293"
"Male","173"
"43",""
"Female","150"
"Male","131"
"44",""
"Female","164"
"Male","124"
"45",""
"Female","566"
"Male","298"
"46",""
"Female","237"
"Male","150"
"47",""
"Female","152"
"Male","124"
"48",""
"Female","265"
"Male","210"
"49",""
"Female","174"
"Male","97"
"5",""
"Female","455"
"Male","441"
"50",""
"Female","648"
"Male","369"
"51",""
"Female","158"
"Male","137"
"52",""
"Female","222"
"Male","247"
"53",""
"Female","190"
"Male","175"
"54",""
"Female","145"
"Male","139"
"55",""
"Female","340"
"Male","329"
"56",""
"Female","176"
"Male","157"
"57",""
"Female","172"
"Male","142"
"58",""
"Female","201"
"Male","204"
"59",""
"Female","142"
"Male","116"
"6",""
"Female","446"
"Male","442"
"60",""
"Female","507"
"Male","351"
"61",""
"Female","136"
"Male","138"
"62",""
"Female","211"
"Male","160"
"63",""
"Female","133"
"Male","124"
"64",""
"Female","114"
"Male","124"
"65",""
"Female","320"
"Male","246"
"66",""
"Female","114"
"Male","109"
"67",""
"Female","131"
"Male","102"
"68",""
"Female","149"
"Male","157"
"69",""
"Female","62"
"Male","68"
"7",""
"Female","503"
"Male","470"
"70",""
"Female","281"
"Male","237"
"71",""
"Female","67"
"Male","79"
"72",""
"Female","101"
"Male","116"
"73",""
"Female","42"
"Male","81"
"74",""
"Female","51"
"Male","65"
"75",""
"Female","164"
"Male","128"
"76",""
"Female","48"
"Male","77"
"77",""
"Female","62"
"Male","71"
"78",""
"Female","97"
"Male","104"
"79",""
"Female","44"
"Male","40"
"8",""
"Female","458"
"Male","532"
"80",""
"Female","113"
"Male","70"
"81",""
"Female","33"
"Male","42"
"82",""
"Female","35"
"Male","35"
"83",""
"Female","34"
"Male","40"
"84",""
"Female","39"
"Male","30"
"85",""
"Female","149"
"Male","110"
"9",""
"Female","487"
"Male","486"
