"Population by Mother tongue","Number"
"Bangla",""
"Female","13"
"Male","18"
"Bhojpuri",""
"Female","152"
"Male","287"
"Bhujel",""
"Female","43"
"Male","40"
"Bote",""
"Female","293"
"Male","264"
"Chepang",""
"Female","75"
"Male","73"
"Darai",""
"Female","1793"
"Male","1456"
"Doteli",""
"Female","8"
"Male","9"
"Dura",""
"Female","162"
"Male","147"
"Gurung",""
"Female","2680"
"Male","1977"
"Hindi",""
"Female","58"
"Male","93"
"Kumal",""
"Female","22"
"Male","25"
"Limbu",""
"Female","4"
"Male","7"
"Magar",""
"Female","5818"
"Male","4490"
"Maithili",""
"Female","62"
"Male","124"
"Nepali",""
"Female","25383"
"Male","20106"
"Newar",""
"Female","1830"
"Male","1474"
"Not Reported",""
"Female","72"
"Male","57"
"Others",""
"Female","29"
"Male","31"
"Rai",""
"Female","23"
"Male","31"
"Sunuwar",""
"Female","4"
"Male","11"
"Tamang",""
"Female","155"
"Male","162"
"Tharu",""
"Female","26"
"Male","40"
"Urdu",""
"Female","370"
"Male","338"
