"Population by Educational Attainment","Number"
"Beginners",""
"Female","829"
"Male","863"
"","1692"
"Graduate and Equivalent",""
"Female","429"
"Male","714"
"","1143"
"Intermediate and Equivalent",""
"Female","1426"
"Male","1557"
"","2983"
"Level not Stated",""
"Female","161"
"Male","115"
"","276"
"Lower Secondary (Class 6-8)",""
"Female","6514"
"Male","5315"
"","11829"
"Non Formal Education",""
"Female","2156"
"Male","1256"
"","3412"
"Others",""
"Female","12"
"Male","12"
"","24"
"Post Graduate Equivalent and Above",""
"Female","67"
"Male","339"
"","406"
"Primary Education (1-5 Class)",""
"Female","9449"
"Male","9147"
"","18596"
"Secondary Level (Class 9-10)",""
"Female","3312"
"Male","2892"
"","6204"
"SLC and Equivalent",""
"Female","2671"
"Male","2823"
"","5494"
