"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","167"
"Male","139"
"Bote",""
"Female","50"
"Male","24"
"Brahman - Hill",""
"Female","168"
"Male","147"
"Chhetri",""
"Female","1004"
"Male","731"
"Damai/Dholi",""
"Female","334"
"Male","245"
"Darai",""
"Female","238"
"Male","196"
"Gharti/Bhujel",""
"Female","37"
"Male","37"
"Gurung",""
"Female","188"
"Male","160"
"Kami",""
"Female","1030"
"Male","755"
"Kumal",""
"Female","137"
"Male","79"
"Magar",""
"Female","9579"
"Male","7300"
"Majhi",""
"Female","44"
"Male","22"
"Musalman",""
"Female","9"
"Male","12"
"Newar",""
"Female","538"
"Male","410"
"Others",""
"Female","29"
"Male","18"
"Sanyasi/Dasnami",""
"Female","82"
"Male","59"
"Sarki",""
"Female","649"
"Male","482"
"Terai Others",""
"Female","11"
"Male","7"
"Thakuri",""
"Female","436"
"Male","317"
