"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","46"
"Male","136"
"","182"
"Gurung",""
"Female","2906"
"Male","2141"
"","5047"
"Hindi",""
"Female","42"
"Male","74"
"","116"
"Kham",""
"Female","93"
"Male","65"
"","158"
"Kumal",""
"Female","111"
"Male","89"
"","200"
"Lhopa",""
"Female","28"
"Male","28"
"","56"
"Magar",""
"Female","2519"
"Male","1774"
"","4293"
"Maithili",""
"Female","9"
"Male","13"
"","22"
"Nepali",""
"Female","20120"
"Male","15813"
"","35933"
"Newar",""
"Female","700"
"Male","591"
"","1291"
"Not Reported",""
"Female","91"
"Male","65"
"","156"
"Others",""
"Female","21"
"Male","23"
"","44"
"Rai",""
"Female","42"
"Male","67"
"","109"
"Tamang",""
"Female","81"
"Male","74"
"","155"
"Thakali",""
"Female","17"
"Male","11"
"","28"
"Tharu",""
"Female","27"
"Male","47"
"","74"
"Urdu",""
"Female","311"
"Male","281"
"","592"
