"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","6.30"
"Construction","8.55"
"Education","4.30"
"Electricty gas and water","8.53"
"Financial intermediation","1.17"
"Fishing","7.67"
"Health and social work","6.57"
"Hotels and restaurants","6.20"
"Manufacturing","5.38"
"Mining and quarrying","9.04"
"Other community, social and personal service activities","7.67"
"Public administration and defence","7.24"
"Real estate, renting and business activities","5.26"
"Transport, storage and communications","5.34"
"Wholesale and retail trade","13.42"
