"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","27888873"
"Construction","7445731"
"Education","5994387"
"Electricty gas and water","4307645"
"Financial intermediation","2873031"
"Fishing","35107"
"Health and social work","2539516"
"Hotels and restaurants","2525951"
"Manufacturing","2949761"
"Mining and quarrying","515285"
"Other community, social and personal service activities","6056169"
"Public administration and defence","2020519"
"Real estate, renting and business activities","3962165"
"Transport, storage and communications","6628105"
"Wholesale and retail trade","6577133"
"Total","82319378"
