"Population by Five Years Age Group","Number"
"0-4",""
"Female","1210"
"Male","1394"
"10-14",""
"Female","1494"
"Male","1425"
"15-19",""
"Female","1218"
"Male","1078"
"20-24",""
"Female","859"
"Male","642"
"25-29",""
"Female","679"
"Male","440"
"30-34",""
"Female","463"
"Male","333"
"35-39",""
"Female","443"
"Male","368"
"40-44",""
"Female","410"
"Male","354"
"45-49",""
"Female","356"
"Male","358"
"50-54",""
"Female","291"
"Male","321"
"55-59",""
"Female","226"
"Male","255"
"5-9",""
"Female","1530"
"Male","1455"
"60-64",""
"Female","278"
"Male","258"
"65-69",""
"Female","139"
"Male","149"
"70-74",""
"Female","98"
"Male","81"
"75+",""
"Female","88"
"Male","85"
