"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","13"
"Male","10"
"Baraee",""
"Female","8"
"Male","12"
"Brahman - Hill",""
"Female","593"
"Male","554"
"Chhetri",""
"Female","3413"
"Male","3056"
"Damai/Dholi",""
"Female","426"
"Male","385"
"Gaine",""
"Female","18"
"Male","23"
"Gurung",""
"Female","282"
"Male","281"
"Kami",""
"Female","1270"
"Male","1154"
"Magar",""
"Female","1298"
"Male","1233"
"Musalman",""
"Female","30"
"Male","26"
"Newar",""
"Female","6"
"Male","8"
"Others",""
"Female","18"
"Male","16"
"Rai",""
"Female","10"
"Male","10"
"Sanyasi/Dasnami",""
"Female","41"
"Male","43"
"Sarki",""
"Female","247"
"Male","202"
"Tamang",""
"Female","9"
"Male","2"
"Thakuri",""
"Female","648"
"Male","538"
