"Population by Single Year of Age","Number"
"0",""
"Female","258"
"Male","242"
"1",""
"Female","247"
"Male","275"
"10",""
"Female","321"
"Male","304"
"11",""
"Female","286"
"Male","275"
"12",""
"Female","324"
"Male","377"
"13",""
"Female","302"
"Male","284"
"14",""
"Female","277"
"Male","300"
"15",""
"Female","279"
"Male","269"
"16",""
"Female","277"
"Male","252"
"17",""
"Female","240"
"Male","233"
"18",""
"Female","321"
"Male","309"
"19",""
"Female","195"
"Male","163"
"2",""
"Female","268"
"Male","251"
"20",""
"Female","224"
"Male","195"
"21",""
"Female","178"
"Male","144"
"22",""
"Female","224"
"Male","162"
"23",""
"Female","161"
"Male","103"
"24",""
"Female","166"
"Male","102"
"25",""
"Female","204"
"Male","146"
"26",""
"Female","162"
"Male","97"
"27",""
"Female","144"
"Male","85"
"28",""
"Female","158"
"Male","124"
"29",""
"Female","103"
"Male","61"
"3",""
"Female","330"
"Male","275"
"30",""
"Female","220"
"Male","149"
"31",""
"Female","65"
"Male","51"
"32",""
"Female","125"
"Male","106"
"33",""
"Female","72"
"Male","75"
"34",""
"Female","77"
"Male","60"
"35",""
"Female","234"
"Male","183"
"36",""
"Female","87"
"Male","82"
"37",""
"Female","69"
"Male","51"
"38",""
"Female","102"
"Male","66"
"39",""
"Female","79"
"Male","73"
"4",""
"Female","304"
"Male","322"
"40",""
"Female","237"
"Male","185"
"41",""
"Female","64"
"Male","60"
"42",""
"Female","92"
"Male","97"
"43",""
"Female","58"
"Male","48"
"44",""
"Female","61"
"Male","54"
"45",""
"Female","170"
"Male","156"
"46",""
"Female","67"
"Male","74"
"47",""
"Female","55"
"Male","59"
"48",""
"Female","68"
"Male","88"
"49",""
"Female","48"
"Male","53"
"5",""
"Female","337"
"Male","334"
"50",""
"Female","141"
"Male","158"
"51",""
"Female","40"
"Male","67"
"52",""
"Female","60"
"Male","88"
"53",""
"Female","37"
"Male","52"
"54",""
"Female","37"
"Male","36"
"55",""
"Female","76"
"Male","74"
"56",""
"Female","39"
"Male","58"
"57",""
"Female","47"
"Male","37"
"58",""
"Female","50"
"Male","63"
"59",""
"Female","41"
"Male","45"
"6",""
"Female","287"
"Male","320"
"60",""
"Female","137"
"Male","114"
"61",""
"Female","44"
"Male","48"
"62",""
"Female","34"
"Male","42"
"63",""
"Female","33"
"Male","43"
"64",""
"Female","28"
"Male","28"
"65",""
"Female","78"
"Male","57"
"66",""
"Female","32"
"Male","25"
"67",""
"Female","19"
"Male","37"
"68",""
"Female","28"
"Male","44"
"69",""
"Female","12"
"Male","11"
"7",""
"Female","323"
"Male","306"
"70",""
"Female","49"
"Male","51"
"71",""
"Female","12"
"Male","14"
"72",""
"Female","17"
"Male","17"
"73",""
"Female","11"
"Male","16"
"74",""
"Female","8"
"Male","5"
"75",""
"Female","25"
"Male","26"
"76",""
"Female","8"
"Male","17"
"77",""
"Female","10"
"Male","6"
"78",""
"Female","7"
"Male","15"
"79",""
"Female","5"
"Male","8"
"8",""
"Female","301"
"Male","339"
"80",""
"Female","13"
"Male","12"
"81",""
"Female","4"
"Male","8"
"82",""
"Female","4"
"Male","3"
"83",""
"Female","0"
"Male","4"
"84",""
"Female","4"
"Male","3"
"85",""
"Female","16"
"Male","25"
"9",""
"Female","300"
"Male","269"
