"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","403"
"Male","385"
"Baraee",""
"Female","8"
"Male","12"
"Brahman - Hill",""
"Female","14592"
"Male","13815"
"Chhetri",""
"Female","47048"
"Male","43859"
"Dalit Others",""
"Female","242"
"Male","217"
"Damai/Dholi",""
"Female","6683"
"Male","6280"
"Gaine",""
"Female","18"
"Male","23"
"Gharti/Bhujel",""
"Female","11"
"Male","5"
"Gurung",""
"Female","1729"
"Male","1604"
"Kami",""
"Female","24859"
"Male","23550"
"Kumal",""
"Female","141"
"Male","141"
"Lohar",""
"Female","16"
"Male","25"
"Magar",""
"Female","12392"
"Male","11717"
"Majhi",""
"Female","39"
"Male","43"
"Marwadi",""
"Female","8"
"Male","3"
"Musalman",""
"Female","219"
"Male","221"
"Newar",""
"Female","384"
"Male","375"
"Others",""
"Female","192"
"Male","173"
"Rai",""
"Female","10"
"Male","10"
"Sanyasi/Dasnami",""
"Female","2093"
"Male","1921"
"Sarki",""
"Female","4399"
"Male","3770"
"Tamang",""
"Female","156"
"Male","165"
"Teli",""
"Female","12"
"Male","10"
"Terai Others",""
"Female","34"
"Male","32"
"Thakuri",""
"Female","19033"
"Male","17709"
"Tharu",""
"Female","29"
"Male","26"
"Yadav",""
"Female","4"
"Male","10"
