"Population by Five Years Age Group","Number"
"0-4",""
"Female","153"
"Male","149"
"10-14",""
"Female","180"
"Male","161"
"15-19",""
"Female","124"
"Male","112"
"20-24",""
"Female","128"
"Male","119"
"25-29",""
"Female","111"
"Male","118"
"30-34",""
"Female","127"
"Male","115"
"35-39",""
"Female","123"
"Male","105"
"40-44",""
"Female","100"
"Male","105"
"45-49",""
"Female","61"
"Male","83"
"50-54",""
"Female","70"
"Male","53"
"55-59",""
"Female","61"
"Male","56"
"5-9",""
"Female","224"
"Male","231"
"60-64",""
"Female","51"
"Male","58"
"65-69",""
"Female","42"
"Male","44"
"70-74",""
"Female","18"
"Male","24"
"75+",""
"Female","16"
"Male","14"
