"Population by Mother tongue","Number"
"Avadhi",""
"Female","8"
"Male","3"
"Bote",""
"Female","762"
"Male","632"
"Dolpali",""
"Female","860"
"Male","754"
"Gurung",""
"Female","1312"
"Male","1116"
"Kaike",""
"Female","9"
"Male","8"
"Kham",""
"Female","505"
"Male","478"
"Magar",""
"Female","1001"
"Male","876"
"Maithili",""
"Female","5"
"Male","13"
"Nepali",""
"Female","12768"
"Male","12575"
"Newar",""
"Female","3"
"Male","8"
"Others",""
"Female","30"
"Male","70"
"Sherpa",""
"Female","1118"
"Male","1037"
"Sign Language",""
"Female","13"
"Male","29"
"Tamang",""
"Female","53"
"Male","71"
"Urdu",""
"Female","0"
"Male","11"
