"Industries Types","Number"
"Accommodation and food","237"
"Administrative and support service activity","0"
"Agriculture, forestry and fishing","31"
"Art, entertainment and recreation","0"
"Construction","3"
"Education","93"
"Electricty gas and water","0"
"Financial intermediation and insurance","5"
"Health and social work","20"
"Information and communications","2"
"Manufacturing","24"
"Mining and quarrying","0"
"Other service activities","53"
"Professional,scientific and techniqual activity","4"
"Real state, renting and business activities","0"
"Transport and storage","12"
"Water supply, wet management","0"
"Wholesale and retail trade","376"
"Total","860"
