"Population by Educational Attainment","Number"
"Beginners",""
"Female","778"
"Male","825"
"","1603"
"Graduate and Equivalent",""
"Female","20"
"Male","210"
"","230"
"Intermediate and Equivalent",""
"Female","211"
"Male","551"
"","762"
"Level not Stated",""
"Female","40"
"Male","48"
"","88"
"Lower Secondary (Class 6-8)",""
"Female","923"
"Male","1798"
"","2721"
"Non Formal Education",""
"Female","280"
"Male","404"
"","684"
"Others",""
"Female","4"
"Male","29"
"","33"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","52"
"","55"
"Primary Education (1-5 Class)",""
"Female","3773"
"Male","4651"
"","8424"
"Secondary Level (Class 9-10)",""
"Female","417"
"Male","985"
"","1402"
"SLC and Equivalent",""
"Female","354"
"Male","969"
"","1323"
