"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","31"
"Male","92"
"Byasi/Sauka",""
"Female","38"
"Male","59"
"Chhetri",""
"Female","2312"
"Male","2367"
"Damai/Dholi",""
"Female","101"
"Male","117"
"Kami",""
"Female","556"
"Male","585"
"Magar",""
"Female","13"
"Male","43"
"Newar",""
"Female","4"
"Male","10"
"Others",""
"Female","14"
"Male","56"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"Sarki",""
"Female","14"
"Male","10"
"Tamang",""
"Female","1075"
"Male","1132"
"Thakuri",""
"Female","1420"
"Male","1482"
"Tharu",""
"Female","3"
"Male","9"
