"Population by Educational Attainment","Number"
"Beginners",""
"Female","289"
"Male","285"
"Graduate and Equivalent",""
"Female","9"
"Male","111"
"Intermediate and Equivalent",""
"Female","104"
"Male","334"
"Level not Stated",""
"Female","3"
"Male","6"
"Lower Secondary (Class 6-8)",""
"Female","407"
"Male","656"
"Non Formal Education",""
"Female","61"
"Male","87"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","3"
"Male","46"
"Primary Education (1-5 Class)",""
"Female","917"
"Male","1317"
"Secondary Level (Class 9-10)",""
"Female","190"
"Male","471"
"SLC and Equivalent",""
"Female","167"
"Male","343"
