"Population by Single Year of Age","Number"
"0",""
"Female","107"
"Male","79"
"1",""
"Female","90"
"Male","70"
"10",""
"Female","95"
"Male","104"
"11",""
"Female","61"
"Male","74"
"12",""
"Female","81"
"Male","85"
"13",""
"Female","70"
"Male","62"
"14",""
"Female","80"
"Male","92"
"15",""
"Female","68"
"Male","66"
"16",""
"Female","79"
"Male","62"
"17",""
"Female","43"
"Male","56"
"18",""
"Female","83"
"Male","75"
"19",""
"Female","33"
"Male","48"
"2",""
"Female","91"
"Male","95"
"20",""
"Female","84"
"Male","61"
"21",""
"Female","36"
"Male","42"
"22",""
"Female","56"
"Male","54"
"23",""
"Female","44"
"Male","36"
"24",""
"Female","39"
"Male","25"
"25",""
"Female","63"
"Male","62"
"26",""
"Female","29"
"Male","35"
"27",""
"Female","23"
"Male","27"
"28",""
"Female","43"
"Male","39"
"29",""
"Female","8"
"Male","16"
"3",""
"Female","114"
"Male","88"
"30",""
"Female","88"
"Male","54"
"31",""
"Female","23"
"Male","17"
"32",""
"Female","46"
"Male","46"
"33",""
"Female","21"
"Male","23"
"34",""
"Female","31"
"Male","17"
"35",""
"Female","84"
"Male","79"
"36",""
"Female","21"
"Male","44"
"37",""
"Female","10"
"Male","12"
"38",""
"Female","26"
"Male","32"
"39",""
"Female","6"
"Male","10"
"4",""
"Female","108"
"Male","103"
"40",""
"Female","70"
"Male","55"
"41",""
"Female","16"
"Male","14"
"42",""
"Female","19"
"Male","33"
"43",""
"Female","15"
"Male","18"
"44",""
"Female","10"
"Male","7"
"45",""
"Female","64"
"Male","48"
"46",""
"Female","7"
"Male","20"
"47",""
"Female","15"
"Male","22"
"48",""
"Female","14"
"Male","33"
"49",""
"Female","7"
"Male","11"
"5",""
"Female","94"
"Male","115"
"50",""
"Female","49"
"Male","46"
"51",""
"Female","4"
"Male","11"
"52",""
"Female","12"
"Male","25"
"53",""
"Female","4"
"Male","13"
"54",""
"Female","7"
"Male","7"
"55",""
"Female","36"
"Male","33"
"56",""
"Female","7"
"Male","14"
"57",""
"Female","4"
"Male","11"
"58",""
"Female","16"
"Male","10"
"59",""
"Female","6"
"Male","10"
"6",""
"Female","106"
"Male","93"
"60",""
"Female","54"
"Male","44"
"61",""
"Female","10"
"Male","17"
"62",""
"Female","12"
"Male","21"
"63",""
"Female","6"
"Male","8"
"64",""
"Female","3"
"Male","9"
"65",""
"Female","30"
"Male","23"
"66",""
"Female","3"
"Male","9"
"67",""
"Female","5"
"Male","6"
"68",""
"Female","4"
"Male","13"
"69",""
"Female","3"
"Male","1"
"7",""
"Female","93"
"Male","74"
"70",""
"Female","19"
"Male","12"
"71",""
"Female","2"
"Male","3"
"72",""
"Female","4"
"Male","3"
"73",""
"Female","1"
"Male","1"
"74",""
"Female","0"
"Male","2"
"75",""
"Female","11"
"Male","4"
"76",""
"Female","2"
"Male","1"
"77",""
"Female","1"
"Male","0"
"78",""
"Female","1"
"Male","1"
"79",""
"Female","1"
"Male","0"
"8",""
"Female","89"
"Male","81"
"80",""
"Female","6"
"Male","4"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","7"
"Male","5"
"9",""
"Female","81"
"Male","77"
