"Population by Caste Ethinicity","Number"
"Badi",""
"Female","60"
"Male","57"
"","117"
"Brahman - Hill",""
"Female","1573"
"Male","1633"
"","3206"
"Byasi/Sauka",""
"Female","1248"
"Male","1213"
"","2461"
"Chhetri",""
"Female","9680"
"Male","9743"
"","19423"
"Damai/Dholi",""
"Female","859"
"Male","909"
"","1768"
"Gurung",""
"Female","8"
"Male","11"
"","19"
"Kami",""
"Female","2429"
"Male","2468"
"","4897"
"Magar",""
"Female","68"
"Male","112"
"","180"
"Newar",""
"Female","4"
"Male","10"
"","14"
"Others",""
"Female","52"
"Male","119"
"","171"
"Sanyasi/Dasnami",""
"Female","8"
"Male","6"
"","14"
"Sarki",""
"Female","537"
"Male","592"
"","1129"
"Tamang",""
"Female","3290"
"Male","3205"
"","6495"
"Teli",""
"Female","56"
"Male","58"
"","114"
"Terai Others",""
"Female","7"
"Male","6"
"","13"
"Thakuri",""
"Female","4974"
"Male","4926"
"","9900"
"Tharu",""
"Female","3"
"Male","9"
"","12"
