"Population by Single Year of Age","Number"
"0",""
"Female","257"
"Male","297"
"1",""
"Female","195"
"Male","221"
"10",""
"Female","266"
"Male","289"
"11",""
"Female","210"
"Male","208"
"12",""
"Female","288"
"Male","306"
"13",""
"Female","233"
"Male","187"
"14",""
"Female","227"
"Male","194"
"15",""
"Female","218"
"Male","186"
"16",""
"Female","217"
"Male","201"
"17",""
"Female","128"
"Male","117"
"18",""
"Female","241"
"Male","238"
"19",""
"Female","113"
"Male","107"
"2",""
"Female","184"
"Male","188"
"20",""
"Female","161"
"Male","155"
"21",""
"Female","178"
"Male","152"
"22",""
"Female","171"
"Male","170"
"23",""
"Female","130"
"Male","114"
"24",""
"Female","112"
"Male","132"
"25",""
"Female","196"
"Male","177"
"26",""
"Female","124"
"Male","93"
"27",""
"Female","120"
"Male","126"
"28",""
"Female","188"
"Male","159"
"29",""
"Female","66"
"Male","65"
"3",""
"Female","330"
"Male","296"
"30",""
"Female","243"
"Male","156"
"31",""
"Female","53"
"Male","52"
"32",""
"Female","125"
"Male","152"
"33",""
"Female","70"
"Male","82"
"34",""
"Female","63"
"Male","47"
"35",""
"Female","212"
"Male","208"
"36",""
"Female","88"
"Male","109"
"37",""
"Female","42"
"Male","74"
"38",""
"Female","103"
"Male","104"
"39",""
"Female","42"
"Male","44"
"4",""
"Female","323"
"Male","328"
"40",""
"Female","215"
"Male","198"
"41",""
"Female","32"
"Male","59"
"42",""
"Female","67"
"Male","86"
"43",""
"Female","32"
"Male","49"
"44",""
"Female","40"
"Male","54"
"45",""
"Female","152"
"Male","148"
"46",""
"Female","40"
"Male","58"
"47",""
"Female","30"
"Male","41"
"48",""
"Female","56"
"Male","88"
"49",""
"Female","28"
"Male","24"
"5",""
"Female","343"
"Male","346"
"50",""
"Female","124"
"Male","132"
"51",""
"Female","34"
"Male","41"
"52",""
"Female","42"
"Male","73"
"53",""
"Female","22"
"Male","30"
"54",""
"Female","22"
"Male","43"
"55",""
"Female","87"
"Male","101"
"56",""
"Female","22"
"Male","49"
"57",""
"Female","22"
"Male","40"
"58",""
"Female","25"
"Male","46"
"59",""
"Female","25"
"Male","40"
"6",""
"Female","335"
"Male","327"
"60",""
"Female","117"
"Male","117"
"61",""
"Female","48"
"Male","50"
"62",""
"Female","39"
"Male","35"
"63",""
"Female","31"
"Male","21"
"64",""
"Female","16"
"Male","16"
"65",""
"Female","56"
"Male","58"
"66",""
"Female","15"
"Male","17"
"67",""
"Female","9"
"Male","13"
"68",""
"Female","11"
"Male","12"
"69",""
"Female","6"
"Male","10"
"7",""
"Female","287"
"Male","313"
"70",""
"Female","36"
"Male","32"
"71",""
"Female","1"
"Male","6"
"72",""
"Female","5"
"Male","10"
"73",""
"Female","5"
"Male","4"
"74",""
"Female","5"
"Male","3"
"75",""
"Female","18"
"Male","13"
"76",""
"Female","2"
"Male","4"
"77",""
"Female","0"
"Male","5"
"78",""
"Female","5"
"Male","4"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","276"
"Male","308"
"80",""
"Female","7"
"Male","3"
"81",""
"Female","0"
"Male","2"
"82",""
"Female","1"
"Male","2"
"83",""
"Female","0"
"Male","4"
"84",""
"Female","2"
"Male","1"
"85",""
"Female","3"
"Male","8"
"9",""
"Female","248"
"Male","242"
