"Population by Five Years Age Group","Number"
"0-4",""
"Female","2069"
"Male","2170"
"10-14",""
"Female","2538"
"Male","2458"
"15-19",""
"Female","2001"
"Male","1866"
"20-24",""
"Female","1680"
"Male","1597"
"25-29",""
"Female","1351"
"Male","1840"
"30-34",""
"Female","1070"
"Male","1058"
"35-39",""
"Female","970"
"Male","1025"
"40-44",""
"Female","816"
"Male","819"
"45-49",""
"Female","611"
"Male","717"
"50-54",""
"Female","457"
"Male","578"
"55-59",""
"Female","388"
"Male","419"
"5-9",""
"Female","2260"
"Male","2168"
"60-64",""
"Female","401"
"Male","386"
"65-69",""
"Female","252"
"Male","257"
"70-74",""
"Female","117"
"Male","137"
"75+",""
"Female","101"
"Male","136"
