"Population by Caste Ethinicity","Number"
"Badi",""
"Female","78"
"Male","93"
"","171"
"Brahman - Hill",""
"Female","641"
"Male","638"
"","1279"
"Chamar/ Harijan/ Ram",""
"Female","30"
"Male","28"
"","58"
"Chhetri",""
"Female","5181"
"Male","5013"
"","10194"
"Damai/Dholi",""
"Female","486"
"Male","468"
"","954"
"Gaine",""
"Female","61"
"Male","64"
"","125"
"Kami",""
"Female","4762"
"Male","4560"
"","9322"
"Magar",""
"Female","2349"
"Male","2277"
"","4626"
"Newar",""
"Female","124"
"Male","118"
"","242"
"Others",""
"Female","20"
"Male","29"
"","49"
"Raji",""
"Female","51"
"Male","49"
"","100"
"Sanyasi/Dasnami",""
"Female","285"
"Male","250"
"","535"
"Sarki",""
"Female","59"
"Male","58"
"","117"
"Terai Others",""
"Female","37"
"Male","31"
"","68"
"Thakuri",""
"Female","2879"
"Male","2775"
"","5654"
"Tharu",""
"Female","14"
"Male","7"
"","21"
